transaction_id,timestamp,amount,currency,merchant_category,merchant_id,customer_id,card_present,device_id,location,is_international,failed_login_attempts,velocity,ip_risk_score,transaction_type,channel,customer_age,account_tenure,geo_distance,merchant_risk_score
12,1/1/2024 0:12,107.9523768,INR,Groceries,1279,2915,0,10792,Delhi,0,0,1,0.035941114,ATM,InStore,33,10,1.23801179,0.194729499
31,1/1/2024 0:31,197.1023445,INR,Restaurants,1917,1559,0,19638,Bangalore,1,0,1,0,ATM,InStore,25,2,4.192520486,0.316322279
55,1/1/2024 0:55,38.9125204,EUR,Electronics,1985,952,1,18321,Bangalore,0,0,1,0.125970082,POS,Web,48,2,7.136518759,0.330827618
88,6/1/2024 0:03,647.1431379,EUR,Groceires,2302,4698,1,29749,New York,1,4,8,0.634458492,Online,Mobile,41,13,87.40585838,0.869240823
26,1/1/2024 0:26,42.33651965,INR,Groceries,1045,2386,0,10176,Mumbai,0,0,0,0.412470445,POS,Web,66,5,17.7292851,0.327628351
42,1/1/2024 0:42,88.83524547,INR,Fashion,1574,3692,0,16127,Mumbai,0,0,0,0.065239224,POS,Web,41,12,1.638109635,0.431951355
69,1/1/2024 1:09,67.85790011,USD,Electronics,1647,1561,1,17983,Delhi,0,1,3,0.091557592,Online,InStore,36,9,5.652187478,0.486987355
15,1/1/2024 0:15,197.4089743,INR,Restaurants,1576,3259,0,16968,Delhi,0,0,1,0.213097356,Online,InStore,23,8,1.759403643,0.470254001
40,1/1/2024 0:40,23.32514152,EUR,Fashion,1351,2768,0,15975,Bangalore,0,0,2,0.170992633,POS,Web,28,8,1.723889963,0.134790457
96,6/1/2024 0:11,830.8495606,INR,Groceires,2545,1376,1,26179,New York,1,3,3,0.823095726,Online,Web,55,3,16.54372197,0.770610989
9,1/1/2024 0:09,235.1826654,INR,Travel,1527,2620,1,10416,London,1,1,0,0.410864593,Online,Web,41,4,11.93318364,0.233508642
72,1/1/2024 1:12,5916.189784,USD,Groceries,1214,2376,1,11593,Mumbai,0,0,0,0.055079155,POS,Web,19,14,2.120194488,0.13959863
11,1/1/2024 0:11,34.65496996,INR,Travel,1030,4542,1,16673,Bangalore,0,0,1,0.204094422,POS,Web,49,12,1.151565382,0.265163056
47,1/1/2024 0:47,52.01254995,INR,Electronics,1988,1771,1,13514,Delhi,0,0,0,0.248637427,POS,Mobile,22,6,9.17911455,0.131035291
85,6/1/2024 0:00,1130.031896,USD,Electronics,2142,4234,1,24129,Delhi,0,4,5,0.742623304,Online,Web,64,2,51.12732695,0.759743959
28,1/1/2024 0:28,287.3618429,USD,Groceries,1149,4113,1,17628,Mumbai,1,1,1,0.335958848,POS,InStore,40,3,6.052274462,0.294252475
93,6/1/2024 0:08,1387.01788,USD,Travel,2503,288,1,25413,London,0,1,3,0.688945567,POS,Mobile,27,4,224.5601638,0.934655555
5,1/1/2024 0:05,56.34111336,INR,Travel,1535,1792,0,16404,Mumbai,0,0,0,0.146236459,POS,Mobile,52,9,15.0626575,0.423191796
66,1/1/2024 1:06,76.62571733,EUR,Restaurants,1939,2397,1,12419,Delhi,0,0,1,0.295651028,Online,Web,37,1,3.094226922,0.36622555
65,1/1/2024 1:05,92.0076822,INR,Fashion,1592,4123,1,18596,Delhi,0,0,0,0.091266548,Online,Mobile,18,3,10.68276913,0.248773062
35,1/1/2024 0:35,44.37939928,INR,Groceires,1516,1984,1,13415,Delhi,0,0,0,0.289028082,POS,Mobile,30,8,0.729589896,0.399894807
16,1/1/2024 0:16,20.40122002,INR,Groceries,1753,956,1,10299,Delhi,0,0,0,0.249902259,POS,Web,35,4,3.946280302,0.244448987
49,1/1/2024 0:49,48.84223099,INR,Travel,1030,124,0,15700,Delhi,0,0,2,0.128234089,POS,Mobile,36,8,0.448322777,0.452365115
34,1/1/2024 0:34,60.77492045,EUR,Electronics,1474,3793,1,17244,Mumbai,0,1,2,0.220750069,POS,Mobile,21,7,5.882371808,0.303644525
7,1/1/2024 0:07,112.7458044,INR,Restaurants,1640,3134,1,10365,Delhi,0,0,0,0.267628851,POS,Web,39,11,4.328652618,0.287636978
95,6/1/2024 0:10,1209.594799,USD,Groceires,2736,4064,1,26170,Delhi,1,2,5,0.890749571,ATM,Web,51,5,71.76197274,0.684388109
27,1/1/2024 0:27,68.19704321,INR,Fashion,1881,3223,0,16742,Delhi,1,1,1,0.438645021,Online,InStore,65,5,2.375571777,0.158285276
19,1/1/2024 0:19,55.54994219,INR,Travel,1877,35,0,11600,Bangalore,0,1,2,0.190019464,POS,Web,66,1,3.933206312,0.449322978
81,1/1/2024 1:21,99.35351437,EUR,Fashion,1903,3738,1,12747,London,0,0,1,0.185167314,Online,Mobile,62,12,7.493040248,0.41064365
25,1/1/2024 0:25,21231.91833,USD,Groceires,1617,3659,1,16251,Bangalore,0,0,1,0.120057765,POS,Web,44,7,2.462245295,0.285398735
62,1/1/2024 1:02,115.1925438,INR,Groceries,1848,4599,1,12666,Delhi,0,0,1,0.100640985,POS,InStore,49,12,7.272766078,0.166359557
13,1/1/2024 0:13,11.72639172,USD,Groceries,1328,2845,1,14741,Delhi,0,0,2,0.173517842,POS,Web,23,9,3.177068118,0.34676241
24,1/1/2024 0:24,66.95179025,USD,Restaurants,1580,3646,0,18905,Delhi,0,0,2,0.156512168,ATM,Mobile,45,1,4.983110735,0.084501907
3,1/1/2024 0:03,13.46310265,INR,Groceries,1832,2320,1,13595,Delhi,0,0,1,0.130266899,POS,InStore,65,1,4.836044251,0.270930696
17,1/1/2024 0:17,1484.223241,INR,Groceries,1264,1084,0,11002,Mumbai,0,0,0,0.070756325,Online,Mobile,31,9,6.88231957,0.268658662
38,1/1/2024 0:38,80.97245721,INR,Fashion,1353,3075,0,19645,Bangalore,0,0,1,0,POS,Mobile,44,3,2.217259918,0.084021875
8,1/1/2024 0:08,73.25210581,USD,Fashion,1424,4514,0,10949,London,0,0,0,0.205453491,Online,InStore,35,10,7.417872612,0.307241449
78,1/1/2024 1:18,80.00147294,INR,Travel,1278,1064,1,16293,Delhi,0,1,2,0.280018252,Online,Mobile,31,1,3.75751404,0.481869942
6,1/1/2024 0:06,136.235661,EUR,Restaurants,1746,4828,1,14759,Mumbai,0,1,0,0.118383706,ATM,Web,43,11,1.089053682,0.28868592
64,1/1/2024 1:04,44.95276602,USD,Electronics,1655,2587,1,19530,London,0,0,2,0.104858067,POS,Web,37,12,1.233521736,0.399007343
36,1/1/2024 0:36,40.55036819,EUR,Electronics,1931,1832,1,,Mumbai,0,0,1,0.21536953,Online,Mobile,31,11,4.004741301,0.293706868
89,6/1/2024 0:04,597.2883811,USD,Gaming,2206,126,1,24878,New York,1,2,4,0.86184928,POS,Web,55,11,82.1738576,0.848945923
56,1/1/2024 0:56,209.3774638,EUR,Fashion,1777,1316,0,14393,New York,1,0,1,0.318512444,POS,Mobile,20,13,0.204109744,0.464338362
99,6/1/2024 0:14,1649.853315,EUR,Groceires,2348,150,1,24429,New York,1,2,3,0.631312961,Online,Mobile,36,4,15.82418716,0.83325526
54,1/1/2024 0:54,180.0164761,INR,Fashion,1666,2120,1,12709,Delhi,0,0,1,0.164016213,Online,Web,32,12,22.02434836,0.429520396
43,1/1/2024 0:43,32.65304911,INR,Electronics,1416,4580,1,18934,Mumbai,0,0,0,0.127925647,POS,InStore,48,14,17.19310478,0.196846383
50,1/1/2024 0:50,103.2186679,INR,Restaurants,1587,2654,1,14514,Delhi,0,0,0,0.088340008,POS,InStore,50,12,2.003586504,0.279273554
67,1/1/2024 1:07,126.7309367,EUR,Travel,1526,2889,1,10398,Delhi,0,0,0,0.193688611,Online,Web,21,3,5.926137834,0.296623747
46,1/1/2024 0:46,32.20996546,INR,Electronics,1567,4589,0,19756,Delhi,0,0,1,0.212082645,POS,Mobile,69,4,1.079618248,0.198922054
68,1/1/2024 1:08,1.666200015,INR,Electronics,1322,4907,1,11128,Delhi,0,0,2,0.380093629,POS,Mobile,54,11,0.593742927,0.088697641
61,1/1/2024 1:01,121.3585554,INR,Electronics,1857,879,1,10737,Bangalore,0,0,1,0.394698099,Online,Web,45,8,5.056805379,0.406177736
97,6/1/2024 0:12,1991.053443,USD,Luxury,2588,2708,1,23058,London,1,3,3,0.847291531,Online,Web,61,3,1.571208172,0.786924407
79,1/1/2024 1:19,106.9468856,EUR,Groceires,1217,3069,0,16223,Delhi,0,0,0,0.158745031,POS,InStore,60,5,0.324783578,0.163692315
41,1/1/2024 0:41,107.2980021,INR,Restaurants,1285,340,1,17044,Delhi,0,0,0,0.099453265,POS,Mobile,20,9,1.243349454,0.230989796
58,1/1/2024 0:58,244.1647614,INR,Groceires,1955,353,0,16116,Delhi,0,0,2,0.212357447,POS,Web,40,1,8.195686399,0.306573685
48,1/1/2024 0:48,26.99694392,USD,Groceires,1261,4152,0,18205,London,0,1,1,0.325081371,POS,Web,20,5,9.448861416,0.420445878
98,6/1/2024 0:13,555.311279,USD,Groceires,2655,278,1,26321,Delhi,1,1,2,0.679754248,Online,Web,69,5,36.57486459,0.95291646
57,1/1/2024 0:57,71.77276651,INR,Travel,1171,2231,1,10885,Delhi,0,1,2,0.209060657,ATM,Web,27,5,0.104063226,0.373297595
75,1/1/2024 1:15,49.58377957,INR,Fashion,1653,3804,0,14959,Bangalore,1,0,1,0.130949862,POS,InStore,46,8,0.942848086,0.147725581
32,1/1/2024 0:32,98.55221808,INR,Restaurants,1138,2723,0,17555,Delhi,0,0,0,0.287769449,POS,InStore,34,13,10.93534138,0.093356116
94,6/1/2024 0:09,779.3600276,USD,Groceires,2947,4342,1,22627,Bangalore,1,2,4,0.74315319,Online,InStore,30,3,111.832111,0.925860353
59,1/1/2024 0:59,72.3612748,USD,Travel,1074,4150,1,14638,Bangalore,0,0,1,0.261346386,POS,Web,54,8,3.520312628,0.41282061
63,1/1/2024 1:03,66.37885261,EUR,Travel,1345,1810,0,17958,Mumbai,1,1,0,0.049098509,POS,Mobile,48,4,5.06376609,0.333875981
84,1/1/2024 1:24,58.64338193,INR,Groceires,1233,552,1,18867,Delhi,0,0,1,0.242028328,POS,Mobile,43,6,6.602443705,0.34915727
37,1/1/2024 0:37,185.4871062,INR,Groceires,1985,1396,1,12763,Bangalore,0,0,0,0.367895601,POS,Web,34,11,3.490789397,0.294843264
29,1/1/2024 0:29,98.33372434,USD,Travel,1039,2779,0,12189,Delhi,0,0,1,0.097307562,POS,Mobile,62,14,11.92006685,0.194965367
1,1/1/2024 0:01,107.2086595,INR,Restaurants,1537,1826,1,11213,Delhi,0,0,1,0.164592282,POS,Mobile,62,12,3.299358004,0.152595046
52,1/1/2024 0:52,59.85492351,INR,Groceires,1997,233,0,16242,Delhi,1,0,0,0.142019404,POS,Mobile,48,6,0.455482856,0.168864897
21,1/1/2024 0:21,297.8935758,EUR,Groceires,1707,3559,1,10736,Mumbai,0,0,3,0.322099931,POS,Mobile,27,3,3.427780776,0.250271268
2,1/1/2024 0:02,99.48286977,INR,Groceires,1332,3975,0,15104,Delhi,1,0,1,0.182381032,POS,Mobile,55,2,4.589635651,0.413107755
23,1/1/2024 0:23,34.07974092,USD,Electronics,1522,1479,0,19738,Delhi,0,0,0,0.12954723,POS,Mobile,18,14,20.26556418,0.09941956
87,6/1/2024 0:02,735.824071,EUR,Electronics,2660,308,1,23991,Dubai,1,1,4,0.718027232,Online,Web,30,13,109.028713,0.907048103
91,6/1/2024 0:06,640.3294964,EUR,Gaming,2795,3942,1,25618,Dubai,0,3,5,0.783083303,POS,Web,65,4,117.4083504,0.786411721
74,1/1/2024 1:14,64.66220063,INR,Travel,1347,8,1,19261,Delhi,0,0,2,0.236608347,POS,Web,68,2,17.53309831,0.311029537
86,6/1/2024 0:01,797.2067431,EUR,Electronics,2035,3010,1,27595,Dubai,1,1,6,0.714108868,Online,Web,63,3,65.35420802,1
82,1/1/2024 1:22,227.7065231,INR,Travel,1122,4461,1,13354,Delhi,0,0,2,0.056799368,POS,Mobile,49,1,21.37854241,0.271869582
20,1/1/2024 0:20,41.90234982,INR,Restaurants,1921,97,1,13341,Delhi,0,0,0,0.294941343,Online,Mobile,64,11,2.185237958,0.098074939
60,1/1/2024 1:00,6080.832721,INR,Fashion,1278,1297,1,17109,Delhi,0,0,0,0.112534892,POS,Mobile,61,10,1.788157834,0.433984501
71,1/1/2024 1:11,88.67052016,USD,Groceires,1422,3281,1,12998,Delhi,0,0,0,0.168117225,POS,Web,20,9,20.16554955,0.064279134
14,1/1/2024 0:14,222.0727263,INR,Travel,1601,2957,1,10322,Delhi,0,1,1,0.216358317,Online,Mobile,19,6,2.795544672,0.414570937
92,6/1/2024 0:07,1118.790175,EUR,Travel,2135,690,1,25058,New York,0,1,10,0.855455339,Online,Web,58,7,158.6184149,0.862415544
51,1/1/2024 0:51,119.7530649,INR,Groceries,1375,2659,1,11871,Bangalore,0,0,2,0.21524757,Online,Web,67,14,1.591363249,0.352397368
